Month, Day, Year
01, 15, 1967	
01, 14, 1968		
01, 11, 1970	
01, 17, 1971	
01, 16, 1972	
01, 14, 1973	
01, 13, 1974	
01, 12, 1975	
01, 18, 1976	
01, 9, 1977	
01, 15, 1978	
01, 21, 1979	
01, 20, 1980	
01, 25, 1981	
01, 24, 1982	
01, 30, 1983	
01, 22, 1984	
01, 20, 1985	
01, 26, 1986	
01, 25, 1987	
01, 31, 1988	
01, 22, 1989	
01, 28, 1990	
01, 27, 1991	
01, 26, 1992	
01, 31, 1993	
01, 30, 1994	
01, 29, 1995	
01, 28, 1996	
01, 26, 1997	
01, 25, 1998	
01, 31, 1999	
01, 30, 2000	
01, 28, 2001	
02, 3, 2002	
01, 26, 2003	
02, 1, 2004	
02, 6, 2005	
02, 5, 2006	
02, 4, 2007	
02, 3, 2008	
02, 1, 2009	
02, 7, 2010	
02, 6, 2011	
02, 5, 2012	
02, 3, 2013	
02, 2, 2014	
02, 1, 2015	
02, 7, 2016	
02, 5, 2017	
02, 4, 2018	
